HL_HFE,HL_KFE,FL_HFE,FL_KFE,HR_HFE,HR_KFE,FR_HFE,FR_KFE
-42.978957438286955,89.97728970077021,44.404287728934904,-90.12210908944648,-58.369656940215904,105.81717363287207,55.75015685548163,-88.51576535879857
-42.78226534302526,89.95260458874758,44.59627292471596,-90.13692019165484,-58.51337151602357,104.58822072780923,55.89514832356781,-88.45156159385391
-42.58502606109025,89.92673458182807,44.78767555412858,-90.15054641374408,-58.62127190320615,103.3316891688141,56.039316676851314,-88.38617052907105
-42.3872433467414,89.89967967303105,44.978491800399524,-90.1629877543729,-58.693924574024635,102.04742637053216,56.18265876980649,-88.31959196701308
-42.188920945167276,89.87143985376402,45.168717843678955,-90.174244212024,-58.731852342322824,100.73520808544251,56.32517147497011,-88.25182569868808
-41.99006259194602,89.84201511364913,45.358349861554444,-90.18431578508387,-58.735530369204355,99.39473443349428,56.466851682967395,-88.18287150311464
-41.79067201250432,89.81140544034189,45.54738402956227,-90.193202471915,-58.70538218571597,98.02562534867559,56.607696302527074,-88.11272914687915
-41.5907529215756,89.77961081934244,45.73581652169539,-90.20090427092055,-58.08251519430957,96.79046619008888,56.747702260486314,-88.04139838368452
-41.39030902265714,89.74663123379901,45.92364351090832,-90.20742118060123,-57.174842377361834,95.62107302715515,56.88686650178451,-87.96887895389065
-41.18934400746661,89.71246666430395,46.11086116961815,-90.21275319960485,-56.26724090313208,94.43827749402179,57.02518598944637,-87.8951705840462
-40.987861555397686,89.6771170886819,46.297465670202406,-90.21690032676804,-55.35927648448193,93.24164946943901,57.16265770455442,-87.82027298641188
-40.7858653329755,89.64058248177065,46.48345318549277,-90.2198625611505,-54.45050589706472,92.03072583614109,57.29927864621026,-87.74418585847508
-40.58335899331131,89.60286281519396,46.668819889265265,-90.22163990206155,-53.54047528341476,90.80500783115812,57.43504583148525,-87.66690888245573
-40.38034617555713,89.5639580571271,46.85356195672593,-90.22223234907922,-52.6287182964821,89.5639580571271,57.56995629535993,-87.58844172480342
-40.17683050436007,89.52386817205443,47.03767556499284,-90.22163990206155,-52.46694896462026,89.60286281519396,58.518193329437096,-88.79058678907786
-39.97281558931665,89.48259312051962,47.2211568935732,-90.2198625611505,-52.30443128202775,89.64058248177065,59.464971134593085,-89.97649977727518
-39.76830502442712,89.44013285886784,47.404002124836516,-90.21690032676804,-52.14116878392839,89.6771170886819,60.41074515936694,-91.14669977978657
-39.56330238754998,89.39648733898056,47.58620744448255,-90.21275319960485,-51.97716501989115,89.71246666430395,61.355956280339065,-92.30166596055037
-39.35781123985669,89.35165650800259,47.767769042005014,-90.20742118060123,-51.81242355355935,89.74663123379901,62.30103253656324,-93.44184060185295
-39.1518351252867,89.30564030806123,47.94868311114993,-90.20090427092055,-51.64694796237151,89.77961081934244,63.24639068530337,-94.56763180118342
-38.945377570003146,89.2584386759779,48.12894585036916,-90.193202471915,-51.480741837273655,89.81140544034189,63.95618503383805,-95.82397557151505
-38.738442081848774,89.21005154297201,48.308553463268375,-90.18431578508387,-51.313808782423685,89.84201511364913,64.17269222365967,-97.34532716799667
-38.531032149802705,89.16047883435694,48.48750215905024,-90.174244212024,-51.146152414887105,89.87143985376402,64.3573794453815,-98.83802875904313
-38.323151243437934,89.10972046922835,48.66578815295136,-90.1629877543729,-50.97777636432515,89.89967967303105,64.50993457064536,-100.30278005156559
